code,abbr,Name,State_name,value,Latitude,Longitude,returned address
579,GU,Gulbarga,Karnataka,8.429950053,17.329731,76.8342957,"Kalaburagi, Karnataka, India"
366,GU,Gumla,Jharkhand,8.342656599,23.0441295,84.5379455,"Gumla, Jharkhand 835207, India"
458,GU,Guna,Madhya Pradesh,12.91885183,24.6455069,77.2864879,"Guna, Madhya Pradesh, India"
548,GU,Guntur,Andhra Pradesh,10.99571526,16.3066525,80.4365402,"Guntur, Andhra Pradesh, India"
35,GU,Gurdaspur,Punjab,13.22398984,32.0419424,75.4053367,"Gurdaspur, Punjab 143521, India"
86,GU,Gurgaon,Haryana,13.73650319,28.4594965,77.0266383,"Gurugram, Haryana, India"
421,GW,Gwalior,Madhya Pradesh,10.01114153,26.2182871,78.1828308,"Gwalior, Madhya Pradesh, India"
318,HA,Hailakandi,Assam,4.586710673,24.4548506,92.5792482,"Hailakandi, Assam, India"
28,HA,Hamirpur,Himachal Pradesh,12.43051402,31.6861745,76.5213092,"Hamirpur, Himachal Pradesh, India"
168,HM,Hamirpur,Uttar Pradesh,96.81200084,31.6861745,76.5213092,"Hamirpur, Himachal Pradesh, India"
100,HA,Hanumangarh,Rajasthan,25.14858916,29.5815012,74.3294199,"Hanumangarh Town, Rajasthan 335513, India"
341,HR,Haora,West Bengal,7.455213154,22.5957689,88.2636394,"Howrah, West Bengal, India"
448,HA,Harda,Madhya Pradesh,5.688341967,22.3355446,77.0996085,"Harda, Madhya Pradesh 461331, India"
155,HR,Hardoi,Uttar Pradesh,16.7030513,27.3986345,80.1316927,"Hardoi, Uttar Pradesh, India"
68,HA,Hardwar,Uttarakhand,7.091538291,29.9456906,78.1642478,"Haridwar, Uttarakhand, India"
574,HS,Hassan,Karnataka,28.53546541,13.0752578,76.1783739,"Hassan, Karnataka, India"
564,HV,Haveri,Karnataka,11.10869092,14.7959027,75.3971254,"Haveri, Karnataka 581110, India"
360,HA,Hazaribagh,Jharkhand,12.39669183,23.9966213,85.3691068,"Hazaribagh, Jharkhand, India"
512,HI,Hingoli,Maharashtra,12.47637693,19.5781428,77.1024902,"Hingoli, Maharashtra, India"
80,HI,Hisar,Haryana,28.23448864,29.1491875,75.7216527,"Hisar, Haryana, India"
449,HO,Hoshangabad,Madhya Pradesh,4.690860756,22.744108,77.736967,"Hoshangabad, Madhya Pradesh, India"
38,HO,Hoshiarpur,Punjab,12.78184826,31.5143178,75.911483,"Hoshiarpur, Punjab, India"
338,HG,Hugli,West Bengal,11.88571781,32.9616817,-117.0930289,"13400 Sabre Springs Pkwy #100, San Diego, CA 92127, USA"
536,HY,Hyderabad,Telangana,3.668479605,17.385044,78.486671,"Hyderabad, Telangana, India"
596,ID,Idukki,Kerala,5.254406325,9.9188973,77.1024902,"Idukki, Kerala, India"
278,EI,Imphal East,Manipur,0,24.7806536,93.9674371,"Imphal East, Manipur, India"
277,WI,Imphal West,Manipur,0,24.7827837,93.8858955,"Imphal West, Manipur, India"
